source,target,weight,volume
frod,sams,533,books123
frod,ganda,181,books123
merr,pipp,162,books123
arag,frod,146,books123
frod,goll,127,books123
bilb,frod,126,books123
ganda,pipp,124,books123
arag,ganda,123,books123
goll,sams,118,books123
frod,pipp,115,books123
frod,ring,110,books123
gimli,lego,109,books123
frod,shir,104,books123
pipp,sams,101,books123
frod,merr,86,books123
arag,lego,84,books123
arag,sams,75,books123
arag,gimli,73,books123
ganda,saru,72,books123
boro,frod,68,books123
ganda,ring,67,books123
arag,merr,65,books123
arag,pipp,64,books123
arag,boro,63,books123
isen,saru,63,books123
merr,sams,63,books123
arag,elro,59,books123
ring,saur,59,books123
ganda,theod,57,books123
fara,frod,55,books123
mord,saur,55,books123
bilb,ganda,54,books123
ganda,gimli,54,books123
arag,gond,52,books123
gond,roha,52,books123
ganda,sams,51,books123
arag,eome,50,books123
sams,shir,50,books123
arag,roha,49,books123
bilb,shir,49,books123
ganda,shir,49,books123
frod,mord,48,books123
ring,sams,46,books123
elve,frod,45,books123
frod,rive,45,books123
ganda,gond,45,books123
ganda,isen,45,books123
ganda,lego,45,books123
elro,ganda,44,books123
elve,sams,43,books123
ents,treeb,42,books123
ganda,sfax,42,books123
arag,orcs,41,books123
bage,frod,41,books123
ganda,merr,41,books123
pipp,shir,41,books123
andu,gond,40,books123
arag,comp,40,books123
dene,ganda,40,books123
hobb,shir,40,books123
elro,frod,39,books123
ganda,saur,39,books123
gond,saur,38,books123
bree,shir,37,books123
fara,gond,37,books123
ganda,mord,37,books123
ganda,roha,37,books123
arag,tiri,36,books123
bilb,sams,36,books123
eome,theod,36,books123
fara,ganda,36,books123
ganda,mori,36,books123
dene,pipp,35,books123
orth,saru,35,books123
arag,mord,34,books123
comp,frod,34,books123
frod,gimli,34,books123
frod,orcs,34,books123
ganda,treeb,34,books123
merr,shir,34,books123
mord,sams,34,books123
boro,ganda,33,books123
ganda,orth,33,books123
arag,saur,32,books123
arag,theod,32,books123
roha,saru,32,books123
arag,fara,31,books123
arag,ring,30,books123
bilb,ring,30,books123
boro,comp,30,books123
boro,pipp,30,books123
boro,ring,30,books123
gond,pipp,30,books123
pipp,orcs,30,books123
roha,theod,30,books123
arag,arat,29,books123
dene,fara,29,books123
ring,shir,29,books123
arag,elen,28,books123
arag,rive,28,books123
boro,gond,28,books123
frod,lego,28,books123
merr,treeb,28,books123
saru,saur,28,books123
arag,bree,27,books123
arag,shir,27,books123
bere,pipp,27,books123
boro,dene,27,books123
boro,fara,27,books123
boro,tiri,27,books123
dene,gond,27,books123
elro,ring,27,books123
elro,rive,27,books123
eome,roha,27,books123
fara,sams,27,books123
lego,merr,27,books123
arag,arwe,26,books123
bilb,goll,26,books123
boro,sams,26,books123
comp,ganda,26,books123
dwar,elve,26,books123
fara,pipp,26,books123
frod,saur,26,books123
gimli,merr,26,books123
isen,roha,26,books123
mord,ring,26,books123
bree,frod,25,books123
elen,gond,25,books123
elen,isil,25,books123
frod,gond,25,books123
frod,nazg,25,books123
frod,tiri,25,books123
pipp,treeb,25,books123
saru,theod,25,books123
arag,saru,24,books123
elve,shir,24,books123
eome,eowy,24,books123
eome,ganda,24,books123
frod,tomb,24,books123
ganda,rive,24,books123
gimli,gloi,24,books123
gond,isil,24,books123
pipp,roha,24,books123
arwe,elro,23,books123
elve,lego,23,books123
gond,mord,23,books123
sams,orcs,23,books123
bage,bilb,22,books123
elve,ganda,22,books123
eowy,merr,22,books123
goll,mord,22,books123
gond,tiri,22,books123
isen,orth,22,books123
lego,pipp,22,books123
merr,orcs,22,books123
mord,orcs,22,books123
mord,saru,22,books123
ring,saru,22,books123
saru,treeb,22,books123
bage,sams,21,books123
bill,sams,21,books123
cele,gala,21,books123
comp,lego,21,books123
frod,lori,21,books123
gimli,treeb,21,books123
goll,ring,21,books123
gond,theod,21,books123
isen,orcs,21,books123
elve,gimli,20,books123
ganda,goll,20,books123
gimli,pipp,20,books123
gond,osgi,20,books123
saur,orcs,20,books123
arag,isil,19,books123
bilb,elro,19,books123
boro,merr,19,books123
boro,orcs,19,books123
elro,elve,19,books123
elve,saur,19,books123
fara,goll,19,books123
frod,hton,19,books123
gimli,sams,19,books123
gond,shir,19,books123
lego,sams,19,books123
merr,roha,19,books123
merr,theod,19,books123
arag,elve,18,books123
arag,lori,18,books123
arag,treeb,18,books123
bere,fara,18,books123
dwar,gimli,18,books123
dwar,mori,18,books123
eowy,fara,18,books123
fara,roha,18,books123
frod,gala,18,books123
goll,orcs,18,books123
grim,saru,18,books123
hton,shir,18,books123
lego,orcs,18,books123
lego,treeb,18,books123
arag,goll,17,books123
comp,gimli,17,books123
dene,tiri,17,books123
ents,isen,17,books123
eome,gond,17,books123
frod,morg,17,books123
ganda,orcs,17,books123
ganda,tiri,17,books123
gond,ring,17,books123
isen,merr,17,books123
isen,pipp,17,books123
isen,treeb,17,books123
merr,saru,17,books123
mord,roha,17,books123
mord,tiri,17,books123
rive,shir,17,books123
roha,saur,17,books123
sams,saur,17,books123
saru,orcs,17,books123
arag,bilb,16,books123
arag,eowy,16,books123
bage,shir,16,books123
boro,lego,16,books123
dwar,orcs,16,books123
edor,ganda,16,books123
elve,hobb,16,books123
frod,mori,16,books123
gala,lori,16,books123
ganda,grim,16,books123
gber,tomb,16,books123
gond,saru,16,books123
hton,sams,16,books123
isil,saur,16,books123
lori,sams,16,books123
pipp,tiri,16,books123
arag,mori,15,books123
bere,ganda,15,books123
comp,pipp,15,books123
comp,ring,15,books123
comp,sams,15,books123
elro,saur,15,books123
elve,gond,15,books123
elve,lori,15,books123
ents,pipp,15,books123
eome,merr,15,books123
eowy,roha,15,books123
frod,saru,15,books123
gond,merr,15,books123
gond,sams,15,books123
isil,ring,15,books123
pipp,saru,15,books123
rive,sams,15,books123
roha,shir,15,books123
roha,treeb,15,books123
sams,shel,15,books123
treeb,orcs,15,books123
andu,saur,14,books123
bilb,rive,14,books123
boro,gimli,14,books123
duri,gimli,14,books123
edor,theod,14,books123
elen,saur,14,books123
elro,gala,14,books123
elro,sams,14,books123
eowy,theod,14,books123
gala,sams,14,books123
gimli,roha,14,books123
goll,saur,14,books123
gond,morg,14,books123
isen,mord,14,books123
isen,saur,14,books123
pipp,sfax,14,books123
ring,rive,14,books123
roha,orcs,14,books123
arag,isen,13,books123
bilb,hobb,13,books123
bilb,hton,13,books123
bilb,merr,13,books123
boro,isil,13,books123
comp,mori,13,books123
dtow,saur,13,books123
edor,roha,13,books123
elen,nume,13,books123
elro,shir,13,books123
eome,gimli,13,books123
eome,lego,13,books123
