source,target,weight,volume
frod,sams,171,book1
frod,ganda,129,book1
arag,frod,105,book1
bilb,frod,96,book1
frod,pipp,80,book1
pipp,sams,72,book1
frod,ring,71,book1
frod,merr,64,book1
frod,shir,64,book1
merr,pipp,57,book1
arag,sams,50,book1
bilb,ganda,44,book1
ganda,ring,43,book1
merr,sams,43,book1
boro,frod,42,book1
arag,ganda,41,book1
arag,boro,40,book1
ganda,sams,31,book1
arag,merr,30,book1
elve,frod,29,book1
frod,rive,29,book1
bilb,shir,28,book1
elro,frod,27,book1
elro,ganda,27,book1
elve,sams,27,book1
ganda,mori,27,book1
arag,bree,26,book1
arag,comp,26,book1
bage,frod,26,book1
ganda,shir,26,book1
ring,saur,24,book1
arag,elro,22,book1
arag,pipp,22,book1
comp,frod,22,book1
gimli,lego,22,book1
bage,bilb,21,book1
bilb,ring,21,book1
bilb,sams,21,book1
frod,lego,21,book1
frod,tomb,21,book1
arag,lego,20,book1
frod,gimli,20,book1
ganda,pipp,20,book1
sams,shir,20,book1
boro,comp,19,book1
boro,ring,19,book1
bree,shir,19,book1
ganda,gimli,19,book1
bree,frod,18,book1
elro,ring,18,book1
frod,nazg,18,book1
ring,shir,17,book1
bill,sams,16,book1
boro,tiri,16,book1
comp,ganda,16,book1
comp,lego,16,book1
ganda,rive,16,book1
gber,tomb,16,book1
arag,rive,15,book1
bilb,goll,15,book1
boro,sams,15,book1
elve,ganda,15,book1
elve,lego,15,book1
arag,ring,14,book1
boro,ganda,14,book1
boro,lego,14,book1
mord,saur,14,book1
arag,gimli,13,book1
arag,shir,13,book1
boro,gond,13,book1
elve,saur,13,book1
frod,gild,13,book1
frod,hton,13,book1
isil,ring,13,book1
bilb,hton,12,book1
boro,pipp,12,book1
dwar,elve,12,book1
elro,elve,12,book1
elve,gimli,12,book1
frod,glorf,12,book1
frod,goll,12,book1
ganda,merr,12,book1
gimli,sams,12,book1
hton,shir,12,book1
pipp,shir,12,book1
bilb,elro,11,book1
boro,gimli,11,book1
comp,sams,11,book1
elro,rive,11,book1
elve,shir,11,book1
lego,sams,11,book1
merr,shir,11,book1
ring,sams,11,book1
arag,bilb,10,book1
arag,elen,10,book1
arag,elve,10,book1
arag,glorf,10,book1
arag,mori,10,book1
arag,tiri,10,book1
bage,ganda,10,book1
bage,shir,10,book1
bilb,merr,10,book1
boro,merr,10,book1
comp,gimli,10,book1
comp,pipp,10,book1
duri,gimli,10,book1
elen,isil,10,book1
elve,lori,10,book1
ganda,lego,10,book1
gimli,mori,10,book1
ring,saru,10,book1
arag,arat,9,book1
arag,mord,9,book1
bage,sams,9,book1
bilb,pipp,9,book1
dwar,ganda,9,book1
dwar,gimli,9,book1
elro,glorf,9,book1
elro,saur,9,book1
elve,rive,9,book1
frod,gloi,9,book1
frod,hald,9,book1
frod,lori,9,book1
frod,mori,9,book1
ganda,goll,9,book1
goll,ring,9,book1
lego,merr,9,book1
lego,pipp,9,book1
mord,ring,9,book1
rive,sams,9,book1
arag,goll,8,book1
bali,mori,8,book1
bill,frod,8,book1
cele,gala,8,book1
elve,mord,8,book1
ganda,mord,8,book1
gimli,gloi,8,book1
hald,lego,8,book1
hobb,shir,8,book1
hton,sams,8,book1
merr,ring,8,book1
ring,rive,8,book1
ring,tiri,8,book1
ring,tomb,8,book1
rive,shir,8,book1
arag,isil,7,book1
boro,elro,7,book1
boro,mord,7,book1
bree,sams,7,book1
comp,elve,7,book1
comp,hald,7,book1
comp,mori,7,book1
comp,ring,7,book1
elen,ring,7,book1
elro,sams,7,book1
frod,gala,7,book1
frod,loth,7,book1
frod,mord,7,book1
frod,saur,7,book1
frod,tiri,7,book1
ganda,saur,7,book1
gimli,merr,7,book1
gimli,pipp,7,book1
gond,ring,7,book1
lego,loth,7,book1
mord,saru,7,book1
pipp,ring,7,book1
saru,saur,7,book1
arag,gond,6,book1
arag,saur,6,book1
boro,mori,6,book1
bree,merr,6,book1
cele,comp,6,book1
comp,merr,6,book1
elro,gloi,6,book1
elro,pipp,6,book1
elro,shir,6,book1
elve,gloi,6,book1
elve,hald,6,book1
elve,loth,6,book1
frod,orcs,6,book1
gala,lori,6,book1
ganda,hton,6,book1
ganda,nazg,6,book1
ganda,saru,6,book1
isen,saru,6,book1
isil,saur,6,book1
merr,rive,6,book1
mord,tiri,6,book1
mori,saur,6,book1
rive,saur,6,book1
roha,saru,6,book1
arag,lori,5,book1
arag,orcs,5,book1
bage,hton,5,book1
bage,pipp,5,book1
bali,ganda,5,book1
bilb,elve,5,book1
bilb,rive,5,book1
boro,isil,5,book1
boro,roha,5,book1
boro,saru,5,book1
duri,ganda,5,book1
duri,mori,5,book1
dwar,gloi,5,book1
dwar,mori,5,book1
elen,gond,5,book1
elen,saur,5,book1
elro,mord,5,book1
elve,gild,5,book1
frod,gber,5,book1
frod,saru,5,book1
ganda,gild,5,book1
ganda,orcs,5,book1
gild,shir,5,book1
gloi,lego,5,book1
glorf,ring,5,book1
gond,isil,5,book1
lego,lori,5,book1
lori,sams,5,book1
merr,tomb,5,book1
mord,orcs,5,book1
mori,orcs,5,book1
mori,ring,5,book1
nazg,pipp,5,book1
orth,saru,5,book1
saur,shir,5,book1
andu,frod,4,book1
arag,arwe,4,book1
arag,bali,4,book1
arag,bill,4,book1
arag,loth,4,book1
bali,frod,4,book1
bali,gimli,4,book1
bilb,gloi,4,book1
bill,bree,4,book1
boro,elen,4,book1
bree,hobb,4,book1
bree,pipp,4,book1
bree,rive,4,book1
bree,tomb,4,book1
cele,elve,4,book1
cele,lori,4,book1
comp,elro,4,book1
comp,gala,4,book1
comp,loth,4,book1
comp,tiri,4,book1
dtow,mord,4,book1
dtow,saur,4,book1
elen,frod,4,book1
elen,ganda,4,book1
elro,saru,4,book1
elve,gala,4,book1
elve,gond,4,book1
elve,hobb,4,book1
elve,mori,4,book1
elve,nume,4,book1
elve,pipp,4,book1
elve,ring,4,book1
frod,hobb,4,book1
gala,ring,4,book1
ganda,gloi,4,book1
ganda,glorf,4,book1
ganda,hobb,4,book1
gild,pipp,4,book1
gimli,hald,4,book1
gloi,mori,4,book1
goll,orcs,4,book1
goll,shir,4,book1
hald,lori,4,book1
isen,orth,4,book1
isen,roha,4,book1
isen,saur,4,book1
isil,mord,4,book1
isil,tiri,4,book1
mord,morg,4,book1
mord,shir,4,book1
mori,sams,4,book1
nazg,sams,4,book1
nazg,shir,4,book1
nume,saur,4,book1
roha,treeb,4,book1
shir,tomb,4,book1
andu,arag,3,book1
andu,elve,3,book1
andu,gond,3,book1
andu,lori,3,book1
andu,mord,3,book1
andu,orcs,3,book1
andu,roha,3,book1
andu,saur,3,book1
arag,cele,3,book1
arag,gala,3,book1
arag,hald,3,book1
arag,nazg,3,book1
arag,roha,3,book1
arat,elen,3,book1
arat,isil,3,book1
arwe,elro,3,book1
arwe,frod,3,book1
